iter	Logloss
0	0.6439504728
1	0.6023134799
2	0.5671171195
3	0.5374325377
4	0.5123109576
5	0.4910118577
6	0.4724880826
7	0.4586776234
8	0.4448464761
9	0.4341774644
10	0.423851047
11	0.4161156498
12	0.4074266552
13	0.4016544197
14	0.3961807633
15	0.3902323057
16	0.3861459078
17	0.381308535
18	0.3779166656
19	0.3749554885
20	0.3722298501
21	0.3690245686
22	0.3664804943
23	0.3638538153
24	0.3616670311
25	0.3598847094
26	0.358177607
27	0.3563712269
28	0.3546092194
29	0.3527639163
30	0.3510665482
31	0.3497999692
32	0.3481330016
33	0.3471034191
34	0.345805085
35	0.3447746225
36	0.3439037633
37	0.342790337
38	0.341744527
39	0.340814417
40	0.3401673775
41	0.3393358881
42	0.3383038155
43	0.3375230018
44	0.3368261567
45	0.335832485
46	0.3349452109
47	0.3344444245
48	0.3336918481
49	0.3328541195
50	0.3320893038
51	0.3311309137
52	0.3304547971
53	0.3300288969
54	0.3295982164
55	0.329030793
56	0.3283633142
57	0.3278644954
58	0.3274499638
59	0.3268838071
60	0.3263163586
61	0.3258353384
62	0.3254698593
63	0.3250416956
64	0.3245839863
65	0.3241147594
66	0.3233318645
67	0.3228853861
68	0.3222844343
69	0.3219623826
70	0.3213458544
71	0.3209423253
72	0.3205431718
73	0.3202155376
74	0.3197314743
75	0.3192893156
76	0.3189259267
77	0.3186539735
78	0.3184065297
79	0.3180663486
80	0.3177866785
81	0.3176035791
82	0.3170371645
83	0.3167254111
84	0.3165058564
85	0.3160772864
86	0.3158759304
87	0.3152854197
88	0.314892754
89	0.3145554467
90	0.3141269292
91	0.3138527801
92	0.3130532133
93	0.3127806183
94	0.3125508089
95	0.3123478531
96	0.3120204965
97	0.3116104528
98	0.3110601765
99	0.3108919686
100	0.3105027456
101	0.3102590598
102	0.3100026235
103	0.309790129
104	0.3096092999
105	0.3093056919
106	0.3089910192
107	0.3083376375
108	0.3077509327
109	0.3075771761
110	0.3069299328
111	0.3064165171
112	0.3061551791
113	0.3059207475
114	0.3054304047
115	0.3051701809
116	0.3049204186
117	0.3046559032
118	0.3042692407
119	0.3041002753
120	0.3037643407
121	0.3034038463
122	0.303183707
123	0.3029805925
124	0.302615275
125	0.3022758047
126	0.301971538
127	0.3017295182
128	0.3014731062
129	0.3011986303
130	0.3010053166
131	0.3007845325
132	0.3003955857
133	0.3002031833
134	0.2998751656
135	0.2995839476
136	0.2993212302
137	0.2990153061
138	0.2987591652
139	0.2985318885
140	0.2980565997
141	0.2977097934
142	0.2974861357
143	0.2971688132
144	0.2968637702
145	0.2965687672
146	0.2962868145
147	0.2961089212
148	0.2959255112
149	0.2957093701
150	0.2955433858
151	0.2953448644
152	0.2951523679
153	0.2949414549
154	0.2947806923
155	0.2945109971
156	0.2943962118
157	0.2942292726
158	0.2938188517
159	0.293529671
160	0.2931515785
161	0.2929556878
162	0.2927493318
163	0.2926026553
164	0.2923444564
165	0.2921362393
166	0.2919119932
167	0.2917644745
168	0.2914812269
169	0.2911412973
170	0.2909592483
171	0.2907869559
172	0.2905703592
173	0.2901758383
174	0.2900416026
175	0.2896255911
176	0.2894472158
177	0.2892712243
178	0.2891004742
179	0.2889781611
180	0.2888638626
181	0.2886552457
182	0.2884584726
183	0.288212247
184	0.287989758
185	0.2878480777
186	0.2876450609
187	0.2873525942
188	0.2871459355
189	0.2870097716
190	0.2868675846
191	0.2866695623
192	0.2864942529
193	0.2863403426
194	0.2860890006
195	0.2858978911
196	0.2857182489
197	0.2854150907
198	0.2852401446
199	0.2851490211
200	0.2848337852
201	0.2847392914
202	0.2845419213
203	0.2842438062
204	0.2840953472
205	0.2838405884
206	0.2837199055
207	0.2836097079
208	0.2834163495
209	0.2832920364
210	0.2830097625
211	0.2828295014
212	0.282676897
213	0.2825745662
214	0.2823818447
215	0.2822497876
216	0.2821238257
217	0.2818683391
218	0.2817398143
219	0.2815391071
